From,To,Quantity 
THE ADVENTURE OF THE SPECKLED BAND, Sherlock Holmes , 139 
A SCANDAL IN BOHEMIA, Sherlock Holmes , 145 
THE ADVENTURE OF THE NOBLE BACHELOR, Sherlock Holmes , 126 
THE RED-HEADED LEAGUE, Sherlock Holmes , 102 
THE BOSCOMBE VALLEY MYSTERY, Sherlock Holmes , 108 
THE ADVENTURE OF THE BLUE CARBUNCLE, Sherlock Holmes , 115 
THE ADVENTURE OF THE COPPER BEECHES, Violet Hunter , 117 
A CASE OF IDENTITY, Sherlock Holmes , 92 
THE ADVENTURE OF THE BERYL CORONET, Alexander Holder , 120 
THE MAN WITH THE TWISTED LIP, Sherlock Holmes , 104 
THE ADVENTURE OF THE ENGINEER’S THUMB, Victor Hatherley , 119 
THE ADVENTURE OF THE COPPER BEECHES, Sherlock Holmes , 74 
THE ADVENTURE OF THE BERYL CORONET, Sherlock Holmes , 87 
THE RED-HEADED LEAGUE, Jabez Wilson , 87 
THE FIVE ORANGE PIPS, Sherlock Holmes , 83 
THE ADVENTURE OF THE NOBLE BACHELOR, Robert St Simon , 59 
THE ADVENTURE OF THE SPECKLED BAND, Helen Stoner , 71 
THE FIVE ORANGE PIPS, John Openshaw , 66 
A SCANDAL IN BOHEMIA, Wilhelm Ormstein , 59 
A SCANDAL IN BOHEMIA, John Watson , 54 
THE BOSCOMBE VALLEY MYSTERY, Lestrade , 31 
THE MAN WITH THE TWISTED LIP, John Watson , 32 
THE ADVENTURE OF THE BLUE CARBUNCLE, James Ryder , 40 
THE MAN WITH THE TWISTED LIP, Mrs St Clair , 41 
A CASE OF IDENTITY, Mary Sutherland , 39 
THE ADVENTURE OF THE BLUE CARBUNCLE, John Watson , 37 
THE BOSCOMBE VALLEY MYSTERY, John Watson , 38 
THE FIVE ORANGE PIPS, John Watson , 37 
THE ADVENTURE OF THE NOBLE BACHELOR, John Watson , 31 
THE ADVENTURE OF THE NOBLE BACHELOR, Lestrade , 24 
THE MAN WITH THE TWISTED LIP, Neville St Clair , 17 
THE ADVENTURE OF THE SPECKLED BAND, John Watson , 24 
THE RED-HEADED LEAGUE, John Watson , 24 
THE BOSCOMBE VALLEY MYSTERY, John Turner , 21 
THE ADVENTURE OF THE ENGINEER’S THUMB, Sherlock Holmes , 20 
THE MAN WITH THE TWISTED LIP, Bradstreet , 25 
A CASE OF IDENTITY, James Windibank , 11 
THE BOSCOMBE VALLEY MYSTERY, Unknown , 29 
THE ADVENTURE OF THE BLUE CARBUNCLE, Breckinridge , 24 
THE ADVENTURE OF THE SPECKLED BAND, Grimesby Roylott , 10 
THE ADVENTURE OF THE COPPER BEECHES, John Watson , 21 
A CASE OF IDENTITY, Hosmer Angel , 0 
THE ADVENTURE OF THE BERYL CORONET, Mary Holder , 18 
THE ADVENTURE OF THE ENGINEER’S THUMB, John Watson , 25 
A CASE OF IDENTITY, John Watson , 20 
THE BOSCOMBE VALLEY MYSTERY, Alice Turner , 14 
THE RED-HEADED LEAGUE, Merryweather , 11 
THE ADVENTURE OF THE BLUE CARBUNCLE, Henry Baker , 9 
THE ADVENTURE OF THE ENGINEER’S THUMB, Bradstreet , 17 
A SCANDAL IN BOHEMIA, Irene Adler , 7 
THE ADVENTURE OF THE BLUE CARBUNCLE, Peterson , 6 
THE ADVENTURE OF THE NOBLE BACHELOR, Francis Moulton , 4 
THE ADVENTURE OF THE BERYL CORONET, Arthur Holder , 0 
THE ADVENTURE OF THE COPPER BEECHES, Jephro Rucastle , 0 
THE RED-HEADED LEAGUE, Jones , 9 
THE BOSCOMBE VALLEY MYSTERY, Charles McCarthy , 0 
THE RED-HEADED LEAGUE, John Clay , 8 
THE BOSCOMBE VALLEY MYSTERY, James McCarthy , 0 
THE ADVENTURE OF THE COPPER BEECHES, Mrs Toller , 9 
A SCANDAL IN BOHEMIA, Unknown , 13 
THE ADVENTURE OF THE COPPER BEECHES, Mrs Rucastle , 0 
THE MAN WITH THE TWISTED LIP, Isa Whitney , 6 
THE ADVENTURE OF THE NOBLE BACHELOR, Mrs Moulton , 10 
THE ADVENTURE OF THE BERYL CORONET, John Watson , 9 
THE ADVENTURE OF THE ENGINEER’S THUMB, Unknown , 10 
THE MAN WITH THE TWISTED LIP, Kate Whitney , 5 
THE ADVENTURE OF THE BERYL CORONET, George Burnwell , 0 
THE ADVENTURE OF THE NOBLE BACHELOR, Flora Millar , 0 
THE ADVENTURE OF THE BLUE CARBUNCLE, Mrs Oakshott , 0 
THE ADVENTURE OF THE COPPER BEECHES, Miss Stoper , 0 
THE ADVENTURE OF THE COPPER BEECHES, Alice Rucastle , 0 
THE MAN WITH THE TWISTED LIP, Mary Watson , 5 
THE ADVENTURE OF THE NOBLE BACHELOR, Lady St Simon , 0 
THE ADVENTURE OF THE COPPER BEECHES, Mr Fowler , 0 
THE ADVENTURE OF THE BLUE CARBUNCLE, Unknown , 4 
THE ADVENTURE OF THE COPPER BEECHES, Unknown , 4 
THE RED-HEADED LEAGUE, Unknown , 3 
THE BOSCOMBE VALLEY MYSTERY, Mary Watson , 3 
THE ADVENTURE OF THE BLUE CARBUNCLE, Catherine Cusack , 0 
THE ADVENTURE OF THE SPECKLED BAND, Unknown , 3 
A CASE OF IDENTITY, Irene Adler , 0 
A CASE OF IDENTITY, Unknown , 2 
THE ADVENTURE OF THE SPECKLED BAND, Mrs Hudson , 0 
A SCANDAL IN BOHEMIA, Clotilde Lothman , 0 
A SCANDAL IN BOHEMIA, Mrs Turner , 0 
THE RED-HEADED LEAGUE, Mary Sutherland , 0 
THE MAN WITH THE TWISTED LIP, Unknown , 1 
THE ADVENTURE OF THE BLUE CARBUNCLE, Irene Adler , 0 
THE ADVENTURE OF THE BLUE CARBUNCLE, Mary Sutherland , 0 
THE ADVENTURE OF THE BLUE CARBUNCLE, Mrs Hudson , 0 
THE ADVENTURE OF THE NOBLE BACHELOR, Unknown , 1 
THE ADVENTURE OF THE COPPER BEECHES, Mary Sutherland , 0 
